               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1288,            0.093227,            0.073088,           0.0059524,              0.0125,            0.014583,            0.004375,             0.12068,             0.20441,            0.072129,              0.0973,              0.0003,              0.0003
                   1,             0.12742,             0.09294,            0.072802,            0.013889,               0.025,             0.02375,           0.0042135,             0.12001,             0.20835,            0.071884,            0.093693,          0.00069307,          0.00069307
                   2,             0.12412,             0.10024,            0.072278,           0.0035714,              0.0125,              0.0135,           0.0048063,             0.11848,             0.21777,            0.070974,            0.090078,           0.0010782,           0.0010782
                   3,             0.12249,             0.10444,            0.071262,           0.0029762,              0.0125,            0.013229,           0.0066146,             0.11729,             0.22312,            0.070282,            0.086455,           0.0014555,           0.0014555
                   4,             0.11942,              0.1136,            0.069531,           0.0057292,             0.01875,            0.014721,           0.0057222,             0.11526,             0.23065,             0.06957,            0.082825,           0.0018248,           0.0018248
                   5,              0.1159,              0.1157,            0.069393,           0.0089936,             0.03125,           0.0074387,           0.0017242,             0.11417,             0.22534,            0.068941,            0.079186,           0.0021861,           0.0021861
                   6,             0.11514,             0.12635,            0.067889,            0.010652,             0.03125,            0.015227,           0.0071766,             0.11122,             0.23175,            0.067776,             0.07554,           0.0025396,           0.0025396
                   7,             0.11208,             0.11796,            0.066571,            0.016667,            0.016731,           0.0099522,            0.001464,             0.10986,             0.22177,            0.067159,            0.071885,           0.0028852,           0.0028852
                   8,             0.10853,             0.11223,            0.065898,            0.017614,            0.016731,            0.016009,           0.0079929,             0.10927,              0.2091,             0.06614,            0.068223,           0.0032228,           0.0032228
                   9,             0.10595,             0.11673,            0.064079,                   0,                   0,                   0,                   0,             0.10725,             0.21702,            0.063433,            0.064553,           0.0035525,           0.0035525
                  10,              0.1042,             0.12128,            0.062444,           0.0021148,           0.0059524,          0.00087608,          0.00017522,             0.10499,             0.21807,            0.060464,            0.060874,           0.0038743,           0.0038743
                  11,             0.10146,              0.1196,            0.059758,                   0,                   0,                   0,                   0,             0.10226,             0.24745,            0.056651,            0.057188,           0.0041882,           0.0041882
                  12,            0.097407,             0.11058,            0.057657,           0.0034153,            0.005531,            0.001833,           0.0002528,              0.1024,             0.24686,            0.054715,            0.053494,           0.0044941,           0.0044941
                  13,            0.098695,             0.12604,             0.05644,           0.0066489,            0.011062,           0.0036606,           0.0010053,             0.10465,             0.25438,            0.054022,            0.049792,           0.0047922,           0.0047922
                  14,            0.091898,             0.11952,            0.054063,            0.012523,            0.017014,           0.0073809,           0.0015631,             0.10199,             0.27527,            0.052162,            0.046082,           0.0050823,           0.0050823
                  15,            0.096636,             0.12447,            0.052961,             0.04218,            0.035978,            0.026749,           0.0094026,             0.09371,             0.25945,            0.050894,            0.042364,           0.0053644,           0.0053644
                  16,            0.091689,              0.1232,            0.052804,            0.054925,            0.045546,             0.04046,           0.0080696,            0.094074,              0.2564,            0.050336,            0.038639,           0.0056387,           0.0056387
                  17,            0.084154,              0.1163,            0.051806,             0.13479,             0.03573,            0.079841,            0.010065,            0.099393,             0.26051,            0.049357,            0.034905,           0.0059051,           0.0059051
                  18,            0.098188,             0.10135,            0.050816,            0.029692,            0.050382,            0.021125,           0.0069461,             0.11873,             0.15972,            0.048534,            0.031163,           0.0061635,           0.0061635
                  19,             0.10693,             0.10337,             0.04837,            0.067486,            0.076303,            0.052901,            0.018013,             0.10979,              0.1681,            0.047035,            0.027414,            0.006414,            0.006414
                  20,            0.099021,             0.10818,            0.049046,             0.14886,            0.064594,            0.089191,            0.040826,            0.097936,             0.20975,            0.045438,            0.023657,           0.0066566,           0.0066566
                  21,            0.089416,             0.11634,            0.047796,            0.017892,            0.063606,            0.018089,           0.0025964,             0.11163,              0.2085,            0.046099,            0.019891,           0.0068913,           0.0068913
                  22,               0.102,             0.10187,            0.046608,             0.28097,               0.025,            0.022524,           0.0062364,             0.10914,             0.19061,            0.044861,            0.016118,            0.007118,            0.007118
                  23,            0.096558,            0.095864,             0.04602,            0.092304,            0.068502,            0.053019,            0.010787,             0.10965,              0.1906,            0.044445,            0.012337,           0.0073369,           0.0073369
                  24,             0.10244,             0.11367,            0.045869,            0.073137,            0.084748,            0.045262,           0.0088796,             0.10635,             0.23891,            0.044479,           0.0085478,           0.0075478,           0.0075478
                  25,            0.097195,             0.11288,            0.045183,             0.33955,               0.025,             0.03722,           0.0088412,            0.094406,             0.24196,            0.044812,            0.007525,            0.007525,            0.007525
                  26,            0.086358,             0.14468,            0.045548,             0.20616,             0.06131,            0.053614,            0.015575,             0.10412,             0.26466,            0.043308,            0.007525,            0.007525,            0.007525
                  27,              0.0881,             0.11276,            0.043065,            0.065178,             0.12978,            0.065823,            0.025077,            0.089282,             0.22428,            0.042926,            0.007426,            0.007426,            0.007426
                  28,             0.08434,             0.13775,              0.0445,              0.3684,            0.064122,             0.05582,            0.016513,            0.096326,             0.23251,            0.042218,            0.007327,            0.007327,            0.007327
                  29,            0.088093,             0.13029,            0.042807,            0.075527,              0.1061,            0.056866,            0.012564,            0.095617,             0.24973,            0.040965,            0.007228,            0.007228,            0.007228
                  30,            0.092793,             0.11856,             0.04355,             0.74157,            0.077426,            0.075744,            0.032833,            0.097349,             0.31074,            0.046579,            0.007129,            0.007129,            0.007129
                  31,            0.084314,             0.12541,             0.04373,             0.46599,            0.086483,            0.056349,            0.018293,            0.091676,               0.342,            0.047037,             0.00703,             0.00703,             0.00703
                  32,            0.072016,              0.1367,             0.04249,             0.49694,            0.066016,             0.10218,            0.040271,            0.093478,             0.28324,             0.04662,            0.006931,            0.006931,            0.006931
                  33,             0.07501,             0.12609,            0.041588,             0.10063,             0.14764,            0.069618,            0.030726,            0.083003,             0.21123,            0.038895,            0.006832,            0.006832,            0.006832
                  34,            0.076504,             0.11715,            0.041949,             0.26575,              0.0933,             0.10872,            0.029291,            0.079099,             0.21803,             0.03857,            0.006733,            0.006733,            0.006733
                  35,            0.072968,             0.10336,            0.041508,              0.1654,              0.1422,             0.11886,            0.049972,            0.080071,              0.2097,             0.03818,            0.006634,            0.006634,            0.006634
                  36,            0.075292,             0.10762,            0.040335,             0.25383,             0.20467,             0.16117,            0.053506,            0.068268,             0.22221,            0.037607,            0.006535,            0.006535,            0.006535
                  37,            0.066366,             0.11266,            0.040863,             0.27897,             0.20177,             0.14752,            0.073181,            0.075359,             0.22343,            0.037964,            0.006436,            0.006436,            0.006436
                  38,            0.072017,             0.11998,            0.039278,             0.22536,             0.20921,             0.15005,            0.074232,            0.070923,             0.22088,             0.03755,            0.006337,            0.006337,            0.006337
                  39,            0.068256,             0.12604,            0.038031,             0.21761,             0.18758,             0.13202,             0.06448,            0.070384,             0.20962,            0.037615,            0.006238,            0.006238,            0.006238
                  40,            0.064543,             0.11339,             0.03687,              0.3596,             0.18676,             0.14552,            0.057668,            0.068956,             0.22371,            0.037496,            0.006139,            0.006139,            0.006139
                  41,            0.066131,             0.11796,            0.038825,             0.18801,             0.20326,             0.15408,            0.075154,            0.070711,             0.21617,            0.036523,             0.00604,             0.00604,             0.00604
                  42,            0.067077,             0.10317,            0.040334,             0.21919,             0.19594,             0.14209,             0.05904,            0.067469,             0.23311,            0.036516,            0.005941,            0.005941,            0.005941
                  43,            0.064173,             0.10677,            0.038813,             0.20727,             0.18965,              0.1607,            0.079506,            0.065051,             0.22828,            0.036321,            0.005842,            0.005842,            0.005842
                  44,            0.058414,             0.11126,            0.035488,             0.33603,             0.19441,             0.13452,            0.057969,            0.071846,             0.22697,            0.036049,            0.005743,            0.005743,            0.005743
                  45,            0.069417,             0.10514,            0.040154,              0.4429,             0.20292,             0.19807,            0.076601,            0.071421,             0.25231,            0.037796,            0.005644,            0.005644,            0.005644
                  46,             0.06466,             0.11099,            0.038431,             0.46209,             0.22949,             0.21552,             0.10277,             0.06559,              0.2564,             0.03729,            0.005545,            0.005545,            0.005545
                  47,            0.059076,             0.10439,            0.039673,             0.31275,             0.19339,             0.15458,            0.080029,            0.062654,             0.21977,            0.036548,            0.005446,            0.005446,            0.005446
                  48,            0.061943,             0.10154,            0.036161,             0.47611,             0.20433,             0.19021,             0.11439,            0.057734,             0.21917,            0.035179,            0.005347,            0.005347,            0.005347
                  49,            0.052981,             0.11195,            0.036688,             0.17255,              0.1985,             0.14325,            0.063154,            0.062498,             0.22316,            0.034366,            0.005248,            0.005248,            0.005248
                  50,            0.057963,             0.10614,            0.036687,             0.50584,             0.19402,             0.19936,              0.1061,            0.063431,             0.20359,            0.035071,            0.005149,            0.005149,            0.005149
                  51,            0.061724,             0.10421,            0.037044,             0.49652,             0.21251,             0.21348,             0.12411,              0.0563,              0.2052,            0.034236,             0.00505,             0.00505,             0.00505
